Using device: mps
Base classes (60): [1, 2, 7, 8, 9, 10, 12, 15, 16, 18, 21, 22, 23, 26, 30, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 55, 56, 58, 59, 60, 61, 62, 63, 65, 66, 68, 70, 72, 73, 74, 76, 78, 80, 83, 85, 87, 91, 92, 96, 98, 99]
Incremental sessions (8 x 5-way): [[5, 6, 24, 67, 82], [19, 20, 43, 79, 90], [0, 53, 57, 93, 95], [25, 71, 77, 84, 89], [27, 29, 64, 88, 97], [4, 11, 54, 69, 75], [13, 17, 28, 31, 86], [3, 14, 35, 81, 94]]

=== Phase A: backbone pretraining on 60 base classes for 30 epochs ===
[Backbone] epoch 001/30 | train_loss 3.3974 | train_acc 14.12% | val_acc 20.85% | 65.8s
[Backbone] epoch 002/30 | train_loss 2.7494 | train_acc 26.64% | val_acc 30.78% | 64.9s
[Backbone] epoch 003/30 | train_loss 2.3432 | train_acc 35.47% | val_acc 37.08% | 64.9s
[Backbone] epoch 004/30 | train_loss 1.9725 | train_acc 44.03% | val_acc 43.20% | 65.1s
[Backbone] epoch 005/30 | train_loss 1.7133 | train_acc 50.39% | val_acc 48.53% | 65.4s
[Backbone] epoch 006/30 | train_loss 1.5273 | train_acc 55.41% | val_acc 51.72% | 65.1s
[Backbone] epoch 007/30 | train_loss 1.3924 | train_acc 58.90% | val_acc 55.38% | 65.2s
[Backbone] epoch 008/30 | train_loss 1.2750 | train_acc 62.13% | val_acc 56.63% | 65.0s
[Backbone] epoch 009/30 | train_loss 1.1836 | train_acc 64.73% | val_acc 57.45% | 65.0s
[Backbone] epoch 010/30 | train_loss 1.1000 | train_acc 66.96% | val_acc 57.25% | 65.1s
[Backbone] epoch 011/30 | train_loss 1.0277 | train_acc 68.78% | val_acc 61.52% | 65.0s
[Backbone] epoch 012/30 | train_loss 0.9609 | train_acc 70.86% | val_acc 62.43% | 65.2s
[Backbone] epoch 013/30 | train_loss 0.8997 | train_acc 72.46% | val_acc 62.33% | 65.0s
[Backbone] epoch 014/30 | train_loss 0.8286 | train_acc 74.42% | val_acc 62.65% | 64.9s
[Backbone] epoch 015/30 | train_loss 0.7673 | train_acc 76.27% | val_acc 62.63% | 65.0s
